blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
0125 039,531 N CALHOUN ST,HARLEM PARK,9,WESTERN,"(39.2949274496, -76.6395954799)",01/01/11305
1446 084,1808 N REGESTER ST,BROADWAY EAST,12,EASTERN,"(39.3111513645, -76.5943423888)",01/01/61307
0207 053,6 S MONROE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2874938529, -76.6471413013)",01/01/71009
4123A079,1762 MONTPELIER ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3192284509, -76.5938736158)",01/01/22715
1556 017,1133 N MILTON AVE,BIDDLE STREET,13,EASTERN,"(39.3043980459, -76.5823534237)",01/01/110311
7480 025,2613 PIERPONT ST,MOUNT WINANS,10,SOUTHERN,"(39.2597803201, -76.6435795824)",01/01/31414
1640 058,2402 MCELDERRY ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2978693481, -76.5834450102)",01/01/120209
4536A109,5340 MAPLE AVE,PIMLICO GOOD NEIGHBORS,5,NORTHWESTERN,"(39.3518240734, -76.6783956413)",01/01/42811
3210 055,1913 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.3112572507, -76.648765479)",01/01/71707
1591 107,912 N PORT ST,MILTON-MONTFORD,13,EASTERN,"(39.3014515878, -76.5833491187)",01/01/71807
0062 020,1038 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3009096434, -76.6419222062)",01/01/100708
2206A013,2571 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2943704374, -76.6586670923)",01/01/81908
3935 084,2704 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322100039, -76.5906707973)",01/01/40314
0108 016,630 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2959335698, -76.6459147094)",01/01/41709
3936 028,2729 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3227180044, -76.5907009992)",01/01/92413
0275 013,324 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.2836372343, -76.6451785875)",01/01/93008
3206 061,1902 N PAYSON ST,MONDAWMIN,7,WESTERN,"(39.3101093315, -76.6501864255)",01/01/103114
3847 084,334 ILCHESTER AVE,HARWOOD,12,NORTHERN,"(39.3229610393, -76.6116690656)",01/01/92812
7897 012,2231 WICOMICO ST,SAINT PAUL,10,SOUTHERN,"(39.2672173135, -76.6452637121)",01/01/20510
1157 051,1227 VALLEY ST,JOHNSTON SQUARE,12,EASTERN,"(39.3047682383, -76.6047999382)",01/01/52510
2377C053,602 ASHBURTON ST,MOSHER,9,WESTERN,"(39.2949841743, -76.6616689472)",01/01/12814
3196C013,3813 BEEHLER AVE,LUCILLE PARK,6,NORTHWESTERN,"(39.3409256596, -76.6758185256)",01/01/62014
0247 052,1409 LEMMON ST,UNION SQUARE,9,SOUTHERN,"(39.2858330518, -76.6400597559)",01/01/52405
1188 073,1234 E EAGER ST,JOHNSTON SQUARE,12,EASTERN,"(39.3018136383, -76.6006086968)",01/01/11312
0119 076,1921 LAURETTA AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2942748064, -76.6482139807)",01/01/22306
0108 023,644 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2962056136, -76.6459305143)",01/01/91214
0207 030,1945 W BALTIMORE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287868278, -76.6485069453)",01/01/80206
4171 172,1957 N COLLINGTON AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.3138662892, -76.5873486655)",01/01/12907
2171 066,2504 HOLLINS ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2869264522, -76.6566422035)",01/01/71814
0469 005,811 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.2959162499, -76.6314054518)",01/01/111004
0072 072,920 MCKEAN AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299483553, -76.6469816023)",01/01/71411
1629 018M,708 N CURLEY ST,MADISON-EASTEND,13,EASTERN,"(39.2995492261, -76.5761574362)",01/01/90309
6042O045,5411 MAYVIEW AVE,FRANKFORD,2,NORTHEASTERN,"(39.3333475602, -76.5446996769)",01/01/13015
1675 024,447 N LAKEWOOD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2967491568, -76.5790844582)",01/01/72414
1484 048,2330 E OLIVER ST,BROADWAY EAST,13,EASTERN,"(39.3080704631, -76.5844408947)",01/01/61711
0021 075,1710 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3055354216, -76.6451203148)",01/01/71814
1110 016,327 E LANVALE ST,GREENMOUNT WEST,12,EASTERN,"(39.3087500257, -76.6110143457)",01/01/110608
0195 063,22 N GILMOR ST,FRANKLIN SQUARE,9,WESTERN,"(39.2890868342, -76.6426934095)",01/01/111010
2174A076,143 S CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2846989707, -76.655604169)",01/01/11615
1152 026,1200 BRENTWOOD AVE,JOHNSTON SQUARE,12,EASTERN,"(39.3040429398, -76.6095070707)",01/01/40414
1145 026,1324 AISQUITH ST,OLIVER,12,EASTERN,"(39.305573975, -76.6024909434)",01/01/22908
1126 024,1505 E FEDERAL ST,OLIVER,12,EASTERN,"(39.3082425348, -76.5976221485)",01/01/71712
0108 070,1813 ARUNAH AVE,HARLEM PARK,9,WESTERN,"(39.2956261577, -76.6465701973)",01/01/102611
1529 034,1749 E PRESTON ST,BROADWAY EAST,12,EASTERN,"(39.305215854, -76.5931315664)",01/01/71814
0148 065,319 N MONROE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2925502291, -76.6469144759)",01/01/50313
1138 049,1418 N BROADWAY,OLIVER,12,EASTERN,"(39.306882908, -76.5951640042)",01/01/60314
4123 032,2622 HARFORD ROAD,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3196442696, -76.5927016917)",01/01/21406
1548 020,1109 MCDONOGH ST,MIDDLE EAST,12,EASTERN,"(39.3037081748, -76.5933604792)",01/01/12215
2219 046,2867 W MULBERRY ST,PENROSE/FAYETTE STREET OUTREACH,9,SOUTHWESTERN,"(39.292451324, -76.6642827913)",01/01/22814
0118 092,500 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2940577504, -76.649890685)",01/01/71112
1456 041,1741 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,"(39.3105289085, -76.5932529337)",01/01/41708
4621 008,4714 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3443183561, -76.670983523)",01/01/110308
2700 007,4701 W BELVEDERE AVE,WEST ARLINGTON,6,NORTHWESTERN,"(39.3400809649, -76.6852448324)",01/01/13113
4178B030,3157 LYNDALE AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.3162799813, -76.578831282)",01/01/20311
0275 022,342 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.2833283883, -76.6451411901)",01/01/91913
0055D060,1120 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3014052979, -76.6368857601)",01/01/81108
0293 063,730 CUMBERLAND ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3083001303, -76.6433944295)",01/01/11415
2206B003,2505 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2944419865, -76.6565706226)",01/01/61207
1691 094,233 N ROSE ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2953118864, -76.5811820358)",01/01/51214
0247 030,1412 W PRATT ST,UNION SQUARE,9,SOUTHERN,"(39.2856698402, -76.6399718193)",01/01/80312
0122 036,1635 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.2950554751, -76.6439382921)",01/01/110912
0149 038,301 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2921814925, -76.6445084207)",01/01/80607
1621 080,703 N DUNCAN ST,MIDDLE EAST,13,EASTERN,"(39.2990622564, -76.5871650298)",01/01/50713
3408 033,2538 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.3133291456, -76.643017999)",01/01/41112
1536 061,1215 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3052432226, -76.5846340214)",01/01/110404
1501 031,1405 N CHESTER ST,BROADWAY EAST,13,EASTERN,"(39.3070119948, -76.5881375014)",01/01/80312
3208 013,1826 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.310074809, -76.6475315746)",01/01/31809
4004 012,1028 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3119463905, -76.6044618849)",01/01/22715
5422 019,6209 MCCLEAN BLVD,HAMILTON HILLS,3,NORTHEASTERN,"(39.3615927354, -76.5684712425)",01/01/111414
4011B007,1112 E 20TH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3129865394, -76.6038134724)",01/01/22107
0156 077,1025 SARAH ANN ST,POPPLETON,9,WESTERN,"(39.2927765322, -76.6348132986)",01/01/120407
0192 093,1905 W FAIRMOUNT AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2887113328, -76.6475749553)",01/01/50411
4013A008,1014 E 20TH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3129416638, -76.6047475539)",01/01/62707
3735 005,422 CALVIN AVE,OAKENSHAWE,14,NORTHERN,"(39.3303796705, -76.6099619542)",01/01/80814
0697 008,2144 WILKENS AVE,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2810554246, -76.6504200633)",01/01/52505
3814 018,413 E 22ND ST,BARCLAY,12,EASTERN,"(39.3142074482, -76.6106494547)",01/01/112007
2400 021,1729 BRADDISH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.308035358, -76.660729877)",01/01/102407
1162 024,1425 E PRESTON ST,OLIVER,12,EASTERN,"(39.3050464383, -76.5987015639)",01/01/71812
1516 012,1925 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.306396662, -76.5905422275)",01/01/110106
2424B019,3036 BAKER ST,ROSEMONT,9,SOUTHWESTERN,"(39.306038864, -76.6688996025)",01/01/120910
1538 008,1203 N MILTON AVE,BEREA,13,EASTERN,"(39.3051325117, -76.5824007923)",01/01/30209
0288 108,2241 RAMSAY ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2826913604, -76.6524258944)",01/01/80310
1288 094,501 OLDTOWN MALL,OLDTOWN,12,EASTERN,"(39.296064439, -76.6039498763)",01/01/90309
1635 028,612 N CASTLE ST,CARE,13,EASTERN,"(39.2979729424, -76.5888971894)",01/01/51911
3213 025,2017 N BENTALOU ST,MONDAWMIN,7,WESTERN,"(39.3111009331, -76.6539382231)",01/01/81710
1469 041,1639 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.3096749288, -76.5900046029)",01/01/51911
0393 054,1305 MYRTLE AVE,UPTON,11,CENTRAL,"(39.2991752643, -76.6324366928)",01/01/92305
0005 040,1628 WESTWOOD AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3091685662, -76.644392634)",01/01/10606
4510 005,4110 HAYWARD AVE,WOODMERE,5,NORTHWESTERN,"(39.3445569816, -76.6871630317)",01/01/122013
0336 034,648 PITCHER ST,UPTON,11,CENTRAL,"(39.3022516367, -76.6355187937)",01/01/51707
0150 015,328 N GILMOR ST,FRANKLIN SQUARE,9,WESTERN,"(39.2929239751, -76.6428901379)",01/01/71410
0719B024,611 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2806932709, -76.6470147423)",01/01/92713
0041 032,1193 N FULTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3028267509, -76.6456986135)",01/01/22015
6759 010,6309 BROWN AVE,BROENING MANOR,1,SOUTHEASTERN,"(39.2735115848, -76.5374633427)",01/01/32113
3172 018,2901 ROCKROSE AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3287884916, -76.6617178158)",01/01/112808
1155 087,730 MURA ST,JOHNSTON SQUARE,12,EASTERN,"(39.3044638855, -76.6070372133)",01/01/40309
3913A001,4001 WILSBY AVE,PEN LUCY,4,NORTHERN,"(39.3382726491, -76.6042902859)",01/01/32915
1449 117,1835 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.3118977611, -76.5900947721)",01/01/21508
0708 019,1537 RAMSAY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2831212005, -76.6417155687)",01/01/110507
3342 002,3925 PARK HEIGHTS AVE,GREENSPRING,6,NORTHERN,"(39.3344745609, -76.6620895562)",01/01/71508
0976 097,110 BURNETT ST,SOUTH BALTIMORE,11,SOUTHERN,"(39.2742673062, -76.616470385)",01/01/20510
1473 053,1617 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3095279022, -76.5848933101)",01/01/61813
7492C144,2532 SOUTHDENE AVE,LAKELAND,10,SOUTHERN,"(39.2543269251, -76.6488774169)",01/01/60710
1473 027,1634 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3097957821, -76.5852962496)",01/01/13014
6285 023,3801 MOUNT PLEASANT AVE,BALTIMORE HIGHLANDS,2,SOUTHEASTERN,"(39.2907846927, -76.5651961893)",01/01/51914
0037A034,1368 N FREMONT AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3050082582, -76.6380211676)",01/01/62813
7364 011,1600 CHESAPEAKE AVE,FAIRFIELD AREA,10,SOUTHERN,"(39.2368969947, -76.5803473421)",01/01/101807
1595 005,2802 ASHLAND AVE,MADISON-EASTEND,13,EASTERN,"(39.3013233963, -76.578006624)",01/01/92311
0204 009,2257 W BALTIMORE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2876976767, -76.6529952019)",01/01/82912
1607 084,821 N BRADFORD ST,MILTON-MONTFORD,13,EASTERN,"(39.3004622822, -76.5843676832)",01/01/122414
1606 042,822 N PATTERSON PARK AVE,MIDDLE EAST,13,EASTERN,"(39.3003127249, -76.5854901258)",01/01/12914
7644 027,2753 BOOKERT DR,CHERRY HILL,10,SOUTHERN,"(39.2475943697, -76.626913288)",01/01/32015
4587 029,3067 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3488291997, -76.6735056538)",01/01/111411
0121 027,1723 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.2950079006, -76.6449132599)",01/01/51705
3003 072,3019 HERBERT ST,WALBROOK,7,SOUTHWESTERN,"(39.3095181864, -76.6685470304)",01/01/52312
4426A028,5514 MINNOKA AVE,WOODMERE,5,NORTHWESTERN,"(39.3486134237, -76.6902753101)",01/01/80913
4157 013,1909 E 20TH ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.3129548251, -76.5910340437)",01/01/31808
0150 034,323 N MOUNT ST,FRANKLIN SQUARE,9,WESTERN,"(39.2926739804, -76.6437492938)",01/01/40912
4608 074,3731 BEEHLER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3419628686, -76.6752239335)",01/01/21215
4552 096,3421 PATON AVE,ARLINGTON,5,NORTHWESTERN,"(39.3485051288, -76.6778896673)",01/01/121610
3410 047,2627 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.3144953379, -76.6437793471)",01/01/31908
2177 047,2525 MCHENRY ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2836677177, -76.6567508335)",01/01/70612
2230G024,6 N ABINGTON AVE,CARROLL-SOUTH HILTON,9,SOUTHWESTERN,"(39.2860555103, -76.6713246529)",01/01/31811
0280 097,312 S NORRIS ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2840178075, -76.6401666427)",01/01/42910
2377D005,2636 EDMONDSON AVE,MOSHER,9,WESTERN,"(39.2948240958, -76.6604804067)",01/01/101911
0308 020,2139 DIVISION ST,DRUID HEIGHTS,7,CENTRAL,"(39.3081650706, -76.6379334175)",01/01/90105
1606 095,803 N MADEIRA ST,MIDDLE EAST,13,EASTERN,"(39.3001438651, -76.5857874316)",01/01/60410
0115 013,1025 HARLEM AVE,HARLEM PARK,9,WESTERN,"(39.2965950709, -76.6350639294)",01/01/70810
0328 015,1828 DRUID HILL AVE,DRUID HEIGHTS,11,CENTRAL,"(39.3062780454, -76.6342195522)",01/01/62308
3845 009,400 WHITRIDGE AVE,HARWOOD,12,NORTHERN,"(39.3217302487, -76.6109844803)",01/01/41511
3173 010,2802 ROCKROSE AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3294062041, -76.6614001763)",01/01/40908
3301 086,3427 DUPONT AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3413983929, -76.6716700031)",01/01/31306
0216 052,1226 HOLLINS ST,HOLLINS MARKET,9,SOUTHERN,"(39.2877362254, -76.6377785022)",01/01/120108
0027 025,1448 N MOUNT ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.305224031, -76.644995164)",01/01/72012
0074 022,1601 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2997753152, -76.6434500588)",01/01/70210
6272 002,3402 E FAIRMOUNT AVE,BALTIMORE HIGHLANDS,1,SOUTHEASTERN,"(39.2938236957, -76.5690042753)",01/01/111610
1553 039,2243 E BIDDLE ST,MIDDLE EAST,13,EASTERN,"(39.304443576, -76.58583125)",01/01/102108
3324 004,3606 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3295948128, -76.659525912)",01/01/122608
4123 017,1739 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3201788549, -76.5934069841)",01/01/52208
2904 006,3713 LIBERTY HEIGHTS AVE,FOREST PARK,6,NORTHWESTERN,"(39.3264292195, -76.6803461059)",01/01/70314
1568 070,1004 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.3025040362, -76.5891925648)",01/01/113005
2387 015,2756 W LAFAYETTE AVE,MOSHER,9,WESTERN,"(39.2982973193, -76.6626500307)",01/01/72006
0082 061,811 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2980021776, -76.649751257)",01/01/31109
4002 006,810 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3118363398, -76.6067267002)",01/01/71311
3325 011,3520 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.328767291, -76.6589148911)",01/01/30509
4623 005,3108 VIRGINIA AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3451661305, -76.6687099175)",01/01/112613
4020 039,707 E 22ND ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3143620987, -76.6081802623)",01/01/42412
0190 010,2122 W BALTIMORE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2882098897, -76.6508953115)",01/01/60910
7612E053A,2490 GILES ROAD,CHERRY HILL,10,SOUTHERN,"(39.252904953, -76.6311731291)",01/01/122413
2281 103,132 N EDGEWOOD ST,ALLENDALE,8,SOUTHWESTERN,"(39.2898651927, -76.6769170168)",01/01/32715
3976A015,611 PARKWYRTH AVE,WAVERLY,4,NORTHERN,"(39.3346961373, -76.6068121762)",01/01/71814
0150 006,310 N GILMOR ST,FRANKLIN SQUARE,9,WESTERN,"(39.2924770377, -76.6428589715)",01/01/32814
1446 023,1749 E NORTH AVE,BROADWAY EAST,12,EASTERN,"(39.3119301574, -76.593725517)",01/01/112305
0129 017,934 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.2945742553, -76.6332670057)",01/01/82807
0205 057,8 S PULASKI ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2875789817, -76.6502693564)",01/01/100808
1109 052,1728 N BROADWAY,OLIVER,12,EASTERN,"(39.3102626601, -76.5954143116)",01/01/60514
5902 005,3012 MAYFIELD AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3219492318, -76.5717332487)",01/01/13106
0055C014,1127 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3017932897, -76.6386048765)",01/01/110504
6550 007,512 S LEHIGH ST,GREEKTOWN,1,SOUTHEASTERN,"(39.28661672, -76.5582806187)",01/01/120913
1434 076,422 S DALLAS ST,FELLS POINT,1,SOUTHEASTERN,"(39.2858605401, -76.5962546897)",01/01/81414
3241 025,2216 BRYANT AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.316857642, -76.6490860355)",01/01/62207
1157 057,1215 VALLEY ST,JOHNSTON SQUARE,12,EASTERN,"(39.304524348, -76.6047863664)",01/01/10810
1460 043,1749 N CHESTER ST,BROADWAY EAST,12,EASTERN,"(39.3107589813, -76.588350051)",01/01/62707
0187 002,104 N POPPLETON ST,POPPLETON,9,WESTERN,"(39.290304178, -76.6324618619)",01/01/80113
0096 004,706 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2966797827, -76.6459902254)",01/01/41709
3650C038,2819 REMINGTON AVE,REMINGTON,14,NORTHERN,"(39.3217979929, -76.621473766)",01/01/53014
2175 087,2520 BOYD ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.28632463, -76.6570968567)",01/01/110504
0811 048,1153 W HAMBURG ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2796000306, -76.630390023)",01/01/12909
5854C014,3807 WOODLEA AVE,WALTHERSON,3,NORTHEASTERN,"(39.3390636874, -76.5597763073)",01/01/112213
0261 049,214 S BRUCE ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2847893125, -76.6444336565)",01/01/62514
2174A009,2436 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2838908722, -76.6555117944)",01/01/60909
1138 117,1430 N BETHEL ST,OLIVER,12,EASTERN,"(39.3070350108, -76.5962025602)",01/01/11410
1556 015,1129 N MILTON AVE,BIDDLE STREET,13,EASTERN,"(39.3043252148, -76.5823495315)",01/01/51107
0153 008,314 N CAREY ST,FRANKLIN SQUARE,9,WESTERN,"(39.2927565638, -76.6386528836)",01/01/72514
0696 110,2233 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2808680347, -76.6517740139)",01/01/52314
3935 103,2742 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3226274573, -76.5913474016)",01/01/102513
4552 048,3418 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,"(39.3475309286, -76.6788305058)",01/01/50699
4123 058,1742 HOMESTEAD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3200003644, -76.5937427396)",01/01/61209
3244 064,2204 RUSKIN AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3152137154, -76.6478562229)",01/01/72402
2442C015,3029 BELMONT AVE,ROSEMONT,9,SOUTHWESTERN,"(39.3031466475, -76.6682523081)",01/01/21315
2528C005,4270 ROKEBY ROAD,ROGNEL HEIGHTS,8,SOUTHWESTERN,"(39.2989186109, -76.6894836841)",01/01/31815
4017 025,735 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3133950394, -76.6073824874)",01/01/110714
2425 026,1711 N ROSEDALE ST,ROSEMONT,7,SOUTHWESTERN,"(39.3074164865, -76.6689799615)",01/01/102814
0175 023,2145 W LEXINGTON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2902245686, -76.6513543443)",01/01/10809
5909 074,3124 KENYON AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3240202859, -76.5670143706)",01/01/111714
4276A035,4120 KENSHAW AVE,REISTERSTOWN STATION,5,NORTHWESTERN,"(39.354149716, -76.7019343568)",01/01/102811
4071 035,2706 MATHEWS ST,BETTER WAVERLY,14,NORTHERN,"(39.3213120721, -76.6080885851)",01/01/81308
2396B011,1021 ASHBURTON ST,MOSHER,9,WESTERN,"(39.2998701581, -76.6614357702)",01/01/52814
7118 027,909 STOLL ST,BROOKLYN,10,SOUTHERN,"(39.2303627642, -76.5996055114)",01/01/80311
1670 062,2228 ORLEANS ST,CARE,13,EASTERN,"(39.2956750929, -76.5855542957)",01/01/72513
3935 112,2760 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3229020703, -76.5916910205)",01/01/72114
6156 033,513 N EAST AVE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.297477099, -76.5719163654)",01/01/42908
1643 081,632 N BELNORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2985432897, -76.5789301311)",01/01/80405
1468 073,1618 N CHAPEL ST,BROADWAY EAST,12,EASTERN,"(39.309311792, -76.5910572414)",01/01/22609
1486 020,1539 N MILTON AVE,BEREA,13,EASTERN,"(39.3088056829, -76.5826711262)",01/01/121613
2451 038,3135 BAKER ST,ROSEMONT,9,SOUTHWESTERN,"(39.3055801089, -76.6703311283)",01/01/42413
4168 002,2035 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.3140992083, -76.5902349386)",01/01/33007
1118 068,1616 E FEDERAL ST,OLIVER,12,EASTERN,"(39.3086726838, -76.5960307713)",01/01/62305
0300C037,1562 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3073895515, -76.6412902631)",01/01/100213
1126 048,1516 N BOND ST,OLIVER,12,EASTERN,"(39.3078282294, -76.597053827)",01/01/31810
4021C084,2216 KIRK AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3150887048, -76.6055379855)",01/01/12915
5165 072,701 MCCABE AVE,WINSTON-GOVANS,4,NORTHERN,"(39.3522137675, -76.6068630776)",01/01/71112
3355A028,2554 OSWEGO AVE,GREENSPRING,6,NORTHERN,"(39.3369248222, -76.6603055674)",01/01/81507
7229 025,4122 GRACE CT,CURTIS BAY,10,SOUTHERN,"(39.227746195, -76.5876659365)",01/01/30714
0329 008,1814 MCCULLOH ST,DRUID HEIGHTS,11,CENTRAL,"(39.3066569425, -76.6333089148)",01/01/111414
1132 022,1430 AISQUITH ST,OLIVER,12,EASTERN,"(39.3067585318, -76.6025757085)",01/01/60811
3825 005,439 E 25TH ST,BARCLAY,12,EASTERN,"(39.3178337088, -76.6098896348)",01/01/60614
4058 047,628 E 36TH ST,WAVERLY,14,NORTHERN,"(39.3324224623, -76.6066451075)",01/01/111811
6242 006,13 N KRESSON ST,KRESSON,2,SOUTHEASTERN,"(39.2935011347, -76.5597254788)",01/01/50713
1471 035,2130 E FEDERAL ST,BROADWAY EAST,13,EASTERN,"(39.3090299293, -76.5869503258)",01/01/100610
1458 075,1722 N CHAPEL ST,BROADWAY EAST,12,EASTERN,"(39.3104268426, -76.5910986142)",01/01/120307
0128 029,509 N ARLINGTON AVE,HARLEM PARK,9,WESTERN,"(39.2947105034, -76.6353448858)",01/01/43012
2275A009,262 N HILTON ST,ALLENDALE,8,SOUTHWESTERN,"(39.290192282, -76.6728614794)",01/01/11215
2742A013,3923 NORFOLK AVE,CONCERNED CITIZENS OF FOREST PARK,6,NORTHWESTERN,"(39.3240241617, -76.6845714389)",01/01/73013
2206A007,2559 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2943832586, -76.6583270949)",01/01/22412
1112 026,1634 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3089246017, -76.6034756286)",01/01/92909
2140 060,2630 LEHMAN ST,MILLHILL,9,SOUTHWESTERN,"(39.2809557819, -76.6578644028)",01/01/70613
6287 057,3715 MOUNT PLEASANT AVE,BALTIMORE HIGHLANDS,2,SOUTHEASTERN,"(39.2908470158, -76.566402375)",01/01/21215
