blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
4622 060,4706 DELAWARE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3450962522, -76.6699366282)",01/01/12914
3342 024,2522 KEYWORTH AVE,GREENSPRING,6,NORTHERN,"(39.3344057229, -76.660302127)",01/01/70714
0075 015,1517 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.2997705871, -76.6425059233)",01/01/12513
1763 048,1833 GOUGH ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.2875957376, -76.5903408375)",01/01/122313
5053G017,4666 KERNWOOD AVE,KERNEWOOD,4,NORTHERN,"(39.3459000699, -76.6110134328)",01/01/102513
2901 001,3701 W FOREST PARK AVE,FOREST PARK,6,NORTHWESTERN,"(39.325208178, -76.6796762875)",01/01/51608
4158 014,2026 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.3137994279, -76.5908897291)",01/01/50212
4166 012,1605 E 25TH ST,DARLEY PARK,14,EASTERN,"(39.316302574, -76.5949720824)",01/01/83110
4616 017,3032 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3463241855, -76.670015767)",01/01/72006
4616 098D,4848 PIMLICO ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3480273146, -76.6690408044)",01/01/71807
1131 017,1410 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3065678036, -76.603336678)",01/01/71607
0193 053,1830 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2884402499, -76.646275959)",01/01/110708
2424B012,3022 BAKER ST,ROSEMONT,9,SOUTHWESTERN,"(39.3060609767, -76.6682548416)",01/01/61812
0152 030,1415 W MULBERRY ST,FRANKLIN SQUARE,9,WESTERN,"(39.2929248513, -76.6403859713)",01/01/72799
5158 046,519 SHERIDAN AVE,WOODBOURNE-MCCABE,4,NORTHERN,"(39.354433917, -76.6089946262)",01/01/111904
2171 040,2585 W BALTIMORE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.287375873, -76.658378103)",01/01/11412
1155 099,706 MURA ST,JOHNSTON SQUARE,12,EASTERN,"(39.3044406833, -76.6075491223)",01/01/41607
1179B034,1044 BRENTWOOD AVE,JOHNSTON SQUARE,12,EASTERN,"(39.3023975724, -76.6093915518)",01/01/111804
1459 032,1744 N CHESTER ST,BROADWAY EAST,12,EASTERN,"(39.3106273671, -76.5888336471)",01/01/102907
1644 025A,2811 E MONUMENT ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2988368894, -76.5776186523)",01/01/42214
0327 019,1836 DIVISION ST,UPTON,11,CENTRAL,"(39.30553253, -76.6353764358)",01/01/52108
1486 054,1516 N ROSE ST,BEREA,13,EASTERN,"(39.3085425094, -76.5824161788)",01/01/120811
3058 024,3406 MONDAWMIN AVE,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.3155051114, -76.6748993458)",01/01/121914
0112 004,606 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.2957194004, -76.6387968729)",01/01/32509
4622 047,3107 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3456771375, -76.6700309601)",01/01/40512
0118 079,517 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2943337473, -76.6495418579)",01/01/91312
1627 017,733 N LAKEWOOD AVE,MADISON-EASTEND,13,EASTERN,"(39.2996653667, -76.5792739726)",01/01/22113
0126 016,532 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.2951119982, -76.6373709347)",01/01/52312
4071 062,2708 BOONE ST,BETTER WAVERLY,14,NORTHERN,"(39.3213648797, -76.6088600314)",01/01/51308
2170A034,2566 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2884556318, -76.6583078604)",01/01/40208
0118 093,502 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2940935832, -76.6498924417)",01/01/102611
