TAG,LAST_ORG,CAPTURE_ME,LAST_USER,EDIT_DATE,BLOCKNUM,PARCELNUM,PIN,CNTGRAPH,BLOCKLOT,SUBTYPE_GE,SHAPE_Leng,SHAPE_Area,FULLADDR,STDIRPRE,ST_NAME,ST_TYPE,BLDG_NO,UNIT_NUM,area
600000000123354,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1147,012,1147012,12,1147 012,1,193.296785749,1120.75569017,1208 E PRESTON ST,E,PRESTON,ST,1208,,104.608521
600000000030862,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4527,038,4527038,38,4527 038,1,400.010956015,10000.4490264,5305 DENMORE AVE,,DENMORE,AVE,5305,,931.581304
600000000024251,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",5165A,006,5165A006,6/9,5165A006,1,639.575471053,12852.8236009,513 GLENWOOD AVE,,GLENWOOD,AVE,513,,1197.25078
600000000122079,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0320,045,0320045,45,0320 045,1,116.413744128,564.08335531,542 ROBERT ST,,ROBERT,ST,542,,52.5380988
600000000131527,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1591,030,1591030,30,1591 030,1,153.088684624,766.000390375,2445 E EAGER ST,E,EAGER,ST,2445,,71.4234649
600000000137981,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0490,036,0490036,36,0490 036,1,166.388505886,976.757378769,823 MADISON AVE,,MADISON,AVE,823,,90.9723363
600000000099424,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4022,026,4022026,26,4022 026,1,228.47419887,1420.3908782,801 E 22ND ST,E,22ND,ST,801,,132.195936
600000000223090,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",7132,001,7132001,1,7132 001,1,291.614067254,1855.52155665,0,,,,0,,172.863194
600000000055451,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3903B,009,3903B009,9,3903B009,1,279.508933738,3745.61284251,502 E 39TH ST,E,39TH,ST,502,,348.60975
600000000164414,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0187,024,0187024,24,0187 024,1,268.32582228,1699.93672616,919 W LEXINGTON ST,W,LEXINGTON,ST,919,,157.955194
600000000163659,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0617,045,0617045,45,0617 045,1,103.967203817,480.271715467,530 SHAD AL,,SHAD,AL,530,,44.6495505
600000000104802,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1449,039,1449039,39,1449 039,1,170.430467086,1009.2994126,1851 N CASTLE ST,N,CASTLE,ST,1851,,94.1145784
600000000115536,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1480,051,1480051,51,1480 051,1,132.074621824,662.527942761,1509 N WASHINGTON ST,N,WASHINGTON,ST,1509,,61.8320836
600000000000466,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",5475,181,5475181,181,5475 181,1,269.863296218,3095.43211812,2801 CLEARVIEW AVE,,CLEARVIEW,AVE,2801,,288.342967
600000000067283,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3323,023N,3323023N,23N/P,3323 023N,1,130.791601211,1044.6133599,0,,,,0,,97.2887268
600000000115947,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1479,088,1479088,88,1479 088,1,132.523578819,768.819586356,1501 N CHAPEL ST,N,CHAPEL,ST,1501,,71.4047697
600000000036847,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",5731,043,5731043,43,5731 043,1,292.693711299,3033.32150543,5922 GREENHILL AVE,,GREENHILL,AVE,5922,,282.576711
600000000198628,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2123A,045,2123A045,45,2123A045,1,314.095101063,6082.04260312,0,,,,0,,566.597318
600000000164728,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",2275,027,2275027,27,2275 027,1,291.491435636,3274.52499254,330 N MONASTERY AVE,N,MONASTERY,AVE,330,,304.899386
600000000002784,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",5129A,179,5129A179,179,5129A179,1,301.916446844,5344.65656445,907 CEDARCROFT ROAD,,CEDARCROFT,ROAD,907,,497.82613
600000000000014,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",5506C,041,5506C041,41,5506C041,1,334.552903805,5639.62858723,0,,,,0,,521.933287
600000000152073,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0106,004,0106004,4,0106 004,1,128.512504294,713.278081023,2006 EDMONDSON AVE,,EDMONDSON,AVE,2006,,66.3625451
600000000215579,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",7834,003,7834003,3/4,7834 003,1,335.560678655,5930.84270431,0,,,,0,,552.480224
600000000093005,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3061B,028A,3061B028A,28A,3061B028A,1,126.192612851,665.699579099,2637 N HILTON ST,N,HILTON,ST,2637,,61.9512448
600000000184237,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0264,034,0264034,34,0264 034,1,174.838799929,1025.04830097,1414 MCHENRY ST,,MCHENRY,ST,1414,,95.4644248
600000000124237,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",8434F,013,8434F013,13,8434F013,1,734.112900233,19653.0482634,0,,,,0,,1830.76283
