,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate,lat,long
0,0411 032,715 N FREMONT AVE,UPTON,11,CENTRAL,"(39.2973522251, -76.6331659571)",01/01/21507,39.2973522251,-76.6331659571
1,2718 010,4003 BOARMAN AVE,DORCHESTER,6,NORTHWESTERN,"(39.3339792358, -76.6842412792)",01/01/13015,39.3339792358,-76.6842412792
2,0338 012,1722 DIVISION ST,UPTON,11,CENTRAL,"(39.3045601683, -76.6341827118)",01/01/121609,39.3045601683,-76.6341827118
3,0072 061,901 MCKEAN AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299130126, -76.6465289111)",01/01/122010,39.299130126,-76.6465289111
4,3003 016,3030 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.309302887, -76.6685164698)",01/01/110804,39.309302887,-76.6685164698
5,0089 021,817 N CALHOUN ST,HARLEM PARK,9,WESTERN,"(39.2984551548, -76.6398191423)",01/01/20413,39.2984551548,-76.6398191423
6,1639 037,612 N MONTFORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2982391036, -76.5839369594)",01/01/72513,39.2982391036,-76.5839369594
7,1455 029,1651 N MILTON AVE,BEREA,13,EASTERN,"(39.3100699049, -76.5825617865)",01/01/112713,39.3100699049,-76.5825617865
8,2402 026,1824 ASHBURTON ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3087295821, -76.6625141401)",01/01/30215,39.3087295821,-76.6625141401
9,5198 034,4606 CRADDOCK AVE,KENILWORTH PARK,4,NORTHERN,"(39.3466721645, -76.6017185907)",01/01/90412,39.3466721645,-76.6017185907
10,5200 063,4402 SAINT GEORGES AVE,WILSON PARK,4,NORTHERN,"(39.3433388308, -76.6032151197)",01/01/121113,39.3433388308,-76.6032151197
11,0162 025,1947 PENROSE AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2910266425, -76.6486941154)",01/01/91905,39.2910266425,-76.6486941154
12,4011B041,2007 KENNEDY AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3132842811, -76.6040342776)",01/01/12015,39.3132842811,-76.6040342776
13,6304 021,3810 CLAREMONT ST,HIGHLANDTOWN,2,SOUTHEASTERN,"(39.2897383569, -76.5646332274)",01/01/71913,39.2897383569,-76.5646332274
14,0098 023,718 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.2970575748, -76.6431361422)",01/01/62212,39.2970575748,-76.6431361422
15,0778 027,1354 CARROLL ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2791933154, -76.635431414)",01/01/81313,39.2791933154,-76.635431414
16,2295 013,4003 EDMONDSON AVE,ALLENDALE,8,SOUTHWESTERN,"(39.2934835564, -76.682788333)",01/01/71614,39.2934835564,-76.682788333
17,0148 018,1816 W SARATOGA ST,FRANKLIN SQUARE,9,WESTERN,"(39.2921950328, -76.6459416719)",01/01/10612,39.2921950328,-76.6459416719
18,2243B011I,147 SIEGWART LANE,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.2835400116, -76.6758146966)",01/01/60114,39.2835400116,-76.6758146966
19,0300C088,1536 N WOODYEAR ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3066385152, -76.6411946979)",01/01/10808,39.3066385152,-76.6411946979
20,0062 032,1035 N GILMOR ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3009091809, -76.64278555)",01/01/120704,39.3009091809,-76.64278555
21,0118 056,528 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2943752694, -76.6492553745)",01/01/81412,39.2943752694,-76.6492553745
22,3196 010,4620 REISTERSTOWN ROAD,LUCILLE PARK,6,NORTHWESTERN,"(39.3402969351, -76.6721859967)",01/01/41114,39.3402969351,-76.6721859967
23,0339 005,1708 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.3051909517, -76.6328974298)",01/01/50914,39.3051909517,-76.6328974298
24,2154 013,2306 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2894557076, -76.6532370669)",01/01/72611,39.2894557076,-76.6532370669
25,4620 079,3333 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3435943878, -76.672550318)",01/01/61908,39.3435943878,-76.672550318
26,0327 046,1819 PENNSYLVANIA AVE,UPTON,11,CENTRAL,"(39.3048327011, -76.6358644717)",01/01/72214,39.3048327011,-76.6358644717
27,0002 044,1819 N PAYSON ST,EASTERWOOD,7,WESTERN,"(39.3091898689, -76.6495963638)",01/01/40414,39.3091898689,-76.6495963638
28,2545 004,222 S AUGUSTA AVE,IRVINGTON,8,SOUTHWESTERN,"(39.281923857, -76.6850387321)",01/01/40706,39.281923857,-76.6850387321
29,5400A027,2201 WOODBOURNE AVE,HAMILTON HILLS,3,NORTHEASTERN,"(39.3557887026, -76.5711786282)",01/01/102414,39.3557887026,-76.5711786282
30,0148 048,1819 W MULBERRY ST,FRANKLIN SQUARE,9,WESTERN,"(39.2927563139, -76.6463079375)",01/01/21811,39.2927563139,-76.6463079375
31,2408 050,1409 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,9,SOUTHWESTERN,"(39.3040548761, -76.6634347205)",01/01/40811,39.3040548761,-76.6634347205
32,0017 046,1530 BAKER ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3069323403, -76.6431611065)",01/01/122712,39.3069323403,-76.6431611065
33,0469 014,829 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.2959028551, -76.6318919446)",01/01/102408,39.2959028551,-76.6318919446
34,4620 093,3305 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3442475643, -76.6722655299)",01/01/30615,39.3442475643,-76.6722655299
35,3445 050,804 RESERVOIR ST,RESERVOIR HILL,7,CENTRAL,"(39.3129028463, -76.6321855828)",01/01/32013,39.3129028463,-76.6321855828
36,4441B034,5723 CLOVER ROAD,GLEN,5,NORTHWESTERN,"(39.3546366193, -76.684875804)",01/01/32515,39.3546366193,-76.684875804
37,3937 003,2876 HARFORD ROAD,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3229086572, -76.5889774687)",01/01/42310,39.3229086572,-76.5889774687
38,0396 036,1331 DIVISION ST,UPTON,11,CENTRAL,"(39.3017915118, -76.6299896722)",01/01/62411,39.3017915118,-76.6299896722
39,1590 014,927 N PATTERSON PARK AVE,MILTON-MONTFORD,13,EASTERN,"(39.3014691667, -76.5850437034)",01/01/80114,39.3014691667,-76.5850437034
40,4552 104,3405 PATON AVE,ARLINGTON,5,NORTHWESTERN,"(39.3486833073, -76.6776021666)",01/01/21315,39.3486833073,-76.6776021666
41,4577A004,3620 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3448139137, -76.6782328256)",01/01/53008,39.3448139137,-76.6782328256
42,0275 003,304 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.2841135448, -76.6451783275)",01/01/60707,39.2841135448,-76.6451783275
43,0082 073,806 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2979780309, -76.6501224611)",01/01/102611,39.2979780309,-76.6501224611
44,0279 092,314 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283901708, -76.6415989866)",01/01/30508,39.283901708,-76.6415989866
45,7363 018A,1518 CHESAPEAKE AVE,FAIRFIELD AREA,10,SOUTHERN,"(39.236594638, -76.581637962)",01/01/113010,39.236594638,-76.581637962
46,4579 031,3510 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3455661182, -76.677059974)",01/01/21505,39.3455661182,-76.677059974
47,2142 021,2638 SAINT BENEDICT ST,MILLHILL,9,SOUTHWESTERN,"(39.2792675961, -76.6578206998)",01/01/73114,39.2792675961,-76.6578206998
48,4002 035,1915 HOMEWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3122873415, -76.6068718875)",01/01/21208,39.3122873415,-76.6068718875
49,4022 008,2115 HOMEWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.313812872, -76.6069537122)",01/01/60807,39.313812872,-76.6069537122
50,0377 015,1430 MCCULLOH ST,UPTON,11,CENTRAL,"(39.3038009677, -76.6297754837)",01/01/80813,39.3038009677,-76.6297754837
51,2171 060,2516 HOLLINS ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2869144247, -76.6569290429)",01/01/80512,39.2869144247,-76.6569290429
52,0184 021,110 N CARROLLTON AVE,POPPLETON,9,WESTERN,"(39.2904849153, -76.6371055436)",01/01/30910,39.2904849153,-76.6371055436
53,1553 084,2227 HENNEMAN AVE,MIDDLE EAST,13,EASTERN,"(39.3039565304, -76.5860278827)",01/01/31610,39.3039565304,-76.5860278827
54,4164A088,1690 DARLEY AVE,DARLEY PARK,12,EASTERN,"(39.3148834694, -76.5938826211)",01/01/10305,39.3148834694,-76.5938826211
55,7480 021,2605 PIERPONT ST,MOUNT WINANS,10,SOUTHERN,"(39.2599626251, -76.6433994163)",01/01/22714,39.2599626251,-76.6433994163
56,4178A059,3157 ELMORA AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.3157077201, -76.5788491097)",01/01/72214,39.3157077201,-76.5788491097
57,1484 041,1512 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.3084361264, -76.5845780392)",01/01/102610,39.3084361264,-76.5845780392
58,4114A036,2631 AISQUITH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3192424558, -76.5960316235)",01/01/31214,39.3192424558,-76.5960316235
59,1611 022,828 N KENWOOD AVE,MADISON-EASTEND,13,EASTERN,"(39.3006986357, -76.5784169243)",01/01/70811,39.3006986357,-76.5784169243
60,0175 100,2108 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2895422712, -76.6504859425)",01/01/71410,39.2895422712,-76.6504859425
61,0181 009,1517 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,"(39.2904306195, -76.6417628138)",01/01/80609,39.2904306195,-76.6417628138
62,0169 037,209 N CAREY ST,POPPLETON,9,WESTERN,"(39.2911885979, -76.6379801647)",01/01/110504,39.2911885979,-76.6379801647
63,2718 042,4022 BELLE AVE,DORCHESTER,6,NORTHWESTERN,"(39.3335070193, -76.6857886691)",01/01/42310,39.3335070193,-76.6857886691
64,4169 069,2138 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.3126794757, -76.5877052411)",01/01/102711,39.3126794757,-76.5877052411
65,0126 005,508 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.2945244742, -76.6373396294)",01/01/111413,39.2945244742,-76.6373396294
66,2201 032,2316 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.294292491, -76.6537422906)",01/01/82809,39.294292491,-76.6537422906
67,0105 009,610 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2956242268, -76.6507516704)",01/01/50410,39.2956242268,-76.6507516704
68,4593 009,5017 CHALGROVE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.349629957, -76.6703221861)",01/01/32112,39.349629957,-76.6703221861
69,4010B023,1232 DARLEY AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3158471403, -76.5980268587)",01/01/82514,39.3158471403,-76.5980268587
70,3410 014,2519 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.3132776831, -76.642132563)",01/01/111606,39.3132776831,-76.642132563
71,0095 077,703 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2967586731, -76.6480418974)",01/01/32411,39.2967586731,-76.6480418974
72,1650 038,506 N CASTLE ST,CARE,13,EASTERN,"(39.2968547174, -76.5888492898)",01/01/103113,39.2968547174,-76.5888492898
73,0064 010,1318 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3003566268, -76.639356141)",01/01/80409,39.3003566268,-76.639356141
74,1516 025,1328 N WASHINGTON ST,BROADWAY EAST,13,EASTERN,"(39.3061076722, -76.5902975201)",01/01/11808,39.3061076722,-76.5902975201
75,1676 066,2804 ORLEANS ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2960024828, -76.5773349465)",01/01/10614,39.2960024828,-76.5773349465
76,1121 030,1543 ENSOR ST,OLIVER,12,EASTERN,"(39.3079592849, -76.6036909359)",01/01/31811,39.3079592849,-76.6036909359
77,6157 039,504 N CLINTON ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2973271308, -76.570886777)",01/01/11514,39.2973271308,-76.570886777
78,0414 062,541 W LAFAYETTE AVE,UPTON,11,CENTRAL,"(39.3014641426, -76.6309390637)",01/01/10709,39.3014641426,-76.6309390637
79,7427 009,2128 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,"(39.2649915809, -76.6330760379)",01/01/92811,39.2649915809,-76.6330760379
80,3347E008,4215 PIMLICO ROAD,GREENSPRING,6,NORTHERN,"(39.3379568887, -76.6627808817)",01/01/103108,39.3379568887,-76.6627808817
81,1516 027,1324 N WASHINGTON ST,BROADWAY EAST,13,EASTERN,"(39.3060412238, -76.5902919503)",01/01/41508,39.3060412238,-76.5902919503
82,0392 009,1316 MYRTLE AVE,UPTON,11,CENTRAL,"(39.2990594904, -76.6330540793)",01/01/122809,39.2990594904,-76.6330540793
83,2949 038,3819 W COLD SPRING LANE,CALLAWAY-GARRISON,6,NORTHWESTERN,"(39.3349632271, -76.6806578237)",01/01/91914,39.3349632271,-76.6806578237
84,0390 024,1814 N CALVERT ST,GREENMOUNT WEST,12,CENTRAL,"(39.3103266346, -76.6139845311)",01/01/21314,39.3103266346,-76.6139845311
85,0304 027,2235 DRUID HILL AVE,DRUID HEIGHTS,7,CENTRAL,"(39.3098062229, -76.6378680219)",01/01/11708,39.3098062229,-76.6378680219
86,1506 023,2644 E HOFFMAN ST,BEREA,13,EASTERN,"(39.3071682328, -76.5801836747)",01/01/40414,39.3071682328,-76.5801836747
87,1458 046,1706 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.3099908732, -76.5905307664)",01/01/50709,39.3099908732,-76.5905307664
88,0767 077,1118 S CAREY ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2809387682, -76.6360982856)",01/01/92413,39.2809387682,-76.6360982856
89,5985 030,4305 FRANKFORD AVE,FRANKFORD,2,NORTHEASTERN,"(39.3366209247, -76.5506414244)",01/01/60911,39.3366209247,-76.5506414244
90,0235 005,1009 HOLLINS ST,HOLLINS MARKET,9,SOUTHERN,"(39.287559852, -76.6340433013)",01/01/112100,39.287559852,-76.6340433013
91,2170A033,2564 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2884577875, -76.6582580685)",01/01/70507,39.2884577875,-76.6582580685
92,1132 032,1437 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3070665008, -76.6029006429)",01/01/111011,39.3070665008,-76.6029006429
93,3196C019,3825 BEEHLER AVE,LUCILLE PARK,6,NORTHWESTERN,"(39.340590397, -76.6759765197)",01/01/111408,39.340590397,-76.6759765197
94,3208 026,1905 N MONROE ST,MONDAWMIN,7,WESTERN,"(39.3102960176, -76.6479233314)",01/01/22709,39.3102960176,-76.6479233314
95,3301 090,3435 DUPONT AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3412495375, -76.6718808746)",01/01/110805,39.3412495375,-76.6718808746
96,5774A001C,3202 GIBBONS AVE,WALTHERSON,3,NORTHEASTERN,"(39.3492248085, -76.5597772469)",01/01/112814,39.3492248085,-76.5597772469
97,3212 026,2005 N SMALLWOOD ST,MONDAWMIN,7,WESTERN,"(39.3111173831, -76.6525509753)",01/01/50914,39.3111173831,-76.6525509753
98,3962 029,1647 CHILTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3273122239, -76.5922083363)",01/01/111811,39.3273122239,-76.5922083363
99,0200 042,1085 W FAYETTE ST,POPPLETON,9,WESTERN,"(39.2895706136, -76.6362700265)",01/01/111605,39.2895706136,-76.6362700265
100,0063 011,1420 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300262986, -76.6407869589)",01/01/112213,39.300262986,-76.6407869589
101,1108 029,1515 E LAFAYETTE AVE,OLIVER,12,EASTERN,"(39.3103617727, -76.5974272069)",01/01/101507,39.3103617727,-76.5974272069
102,4003 018,1904 CECIL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3121611349, -76.6054769131)",01/01/72108,39.3121611349,-76.6054769131
103,2404 044,1621 ASHBURTON ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3066413504, -76.6617438528)",01/01/52110,39.3066413504,-76.6617438528
104,2377C083,2745 HARLEM AVE,MOSHER,9,WESTERN,"(39.2953383834, -76.6628495975)",01/01/10915,39.2953383834,-76.6628495975
105,7443 013,2228 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,"(39.263985858, -76.6337152979)",01/01/41311,39.263985858,-76.6337152979
106,1099B122,1807 AIKEN ST,OLIVER,12,EASTERN,"(39.3108500752, -76.6005279231)",01/01/102606,39.3108500752,-76.6005279231
107,7463 037,2445 WESTPORT ST,WESTPORT,10,SOUTHERN,"(39.2612386274, -76.6367220076)",01/01/51304,39.2612386274,-76.6367220076
108,4605A011A,4947 EDGEMERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3453713858, -76.674628057)",01/01/52109,39.3453713858,-76.674628057
109,4175A003,1940 BELAIR ROAD,SOUTH CLIFTON PARK,12,EASTERN,"(39.3139127983, -76.5837051034)",01/01/122308,39.3139127983,-76.5837051034
110,0411 017,713 W LANVALE ST,UPTON,11,CENTRAL,"(39.2985251596, -76.6326127774)",01/01/10908,39.2985251596,-76.6326127774
111,1454 063,1808 N PORT ST,BROADWAY EAST,13,EASTERN,"(39.3115609138, -76.5839978244)",01/01/90514,39.3115609138,-76.5839978244
112,3251 006,2810 REISTERSTOWN ROAD,LIBERTY SQUARE,7,NORTHWESTERN,"(39.3202860673, -76.654354549)",01/01/101013,39.3202860673,-76.654354549
113,1459 048,1711 N CASTLE ST,BROADWAY EAST,12,EASTERN,"(39.3103620057, -76.5891015649)",01/01/32612,39.3103620057,-76.5891015649
114,0120 018,540 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.2948764636, -76.6458292893)",01/01/61912,39.2948764636,-76.6458292893
115,3448 005,2108 MOUNT ROYAL TERR,RESERVOIR HILL,7,CENTRAL,"(39.3132214327, -76.6270427782)",01/01/72310,39.3132214327,-76.6270427782
116,0299 004,1307 W NORTH AVE,DRUID HEIGHTS,7,CENTRAL,"(39.3099928948, -76.638590598)",01/01/100608,39.3099928948,-76.638590598
117,4190 044,2839 ERDMAN AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3226382879, -76.5757986519)",01/01/50714,39.3226382879,-76.5757986519
118,0125 040,529 N CALHOUN ST,HARLEM PARK,9,WESTERN,"(39.2948819269, -76.6395933695)",01/01/31209,39.2948819269,-76.6395933695
119,3000 004,3306 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.3092063603, -76.6729632457)",01/01/100808,39.3092063603,-76.6729632457
120,2169 058,2757 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2883410494, -76.6608306986)",01/01/61312,39.2883410494,-76.6608306986
121,1109 074,1601 E LAFAYETTE AVE,OLIVER,12,EASTERN,"(39.3104012497, -76.5964874108)",01/01/32713,39.3104012497,-76.5964874108
122,0062 010,1018 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3005339116, -76.6418999123)",01/01/100708,39.3005339116,-76.6418999123
123,3196 016,4632 REISTERSTOWN ROAD,LUCILLE PARK,6,NORTHWESTERN,"(39.340401641, -76.6725686033)",01/01/60107,39.340401641,-76.6725686033
124,3312 020,4052 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3355624655, -76.6637100421)",01/01/62405,39.3355624655,-76.6637100421
125,0431 062,1131 MYRTLE AVE,UPTON,11,CENTRAL,"(39.2978509091, -76.630830097)",01/01/81809,39.2978509091,-76.630830097
126,2411 025,2935 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3078982325, -76.6670303491)",01/01/11206,39.3078982325,-76.6670303491
127,4003 043,1901 OAK HILL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3120649129, -76.6058739851)",01/01/110708,39.3120649129,-76.6058739851
128,3913 075,640 DUMBARTON AVE,PEN LUCY,4,NORTHERN,"(39.3383208107, -76.6056760704)",01/01/42613,39.3383208107,-76.6056760704
129,1506 006,2610 E HOFFMAN ST,BEREA,13,EASTERN,"(39.3071372359, -76.581003852)",01/01/101410,39.3071372359,-76.581003852
130,3210 079,1932 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.311501709, -76.6491506274)",01/01/71910,39.311501709,-76.6491506274
131,0156 060,326 N SCHROEDER ST,POPPLETON,9,WESTERN,"(39.2932116494, -76.6342574922)",01/01/32614,39.2932116494,-76.6342574922
132,1658 079,521 N BELNORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2975356011, -76.5784869917)",01/01/113007,39.2975356011,-76.5784869917
133,4607 073,3619 LUCILLE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3419283433, -76.6743107262)",01/01/32908,39.3419283433,-76.6743107262
134,0129 043,919 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.295404494, -76.6333473017)",01/01/121906,39.295404494,-76.6333473017
135,0299 062,518 BAKER ST,DRUID HEIGHTS,7,CENTRAL,"(39.3096674951, -76.6388367806)",01/01/40108,39.3096674951,-76.6388367806
136,1463 067,1725 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3104855297, -76.5849482842)",01/01/92905,39.3104855297,-76.5849482842
137,4179D122,3500 ERDMAN AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3186480276, -76.5701367805)",01/01/62714,39.3186480276,-76.5701367805
138,4612 019,4930 PALMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3476992366, -76.672345259)",01/01/121113,39.3476992366,-76.672345259
139,4003 032,1923 OAK HILL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3124887174, -76.6059069132)",01/01/31208,39.3124887174,-76.6059069132
140,0273 016,330 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2834409095, -76.648640163)",01/01/92908,39.2834409095,-76.648640163
141,4019 031,511 E 22ND ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3143277094, -76.6090835507)",01/01/70610,39.3143277094,-76.6090835507
142,3228C016,2207 RUSKIN AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.314982174, -76.6475009418)",01/01/20813,39.314982174,-76.6475009418
143,0266B028,1254 GLYNDON AVE,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2822068913, -76.6365141788)",01/01/62013,39.2822068913,-76.6365141788
144,0393 041A,1331 MYRTLE AVE,UPTON,11,CENTRAL,"(39.2995870522, -76.632982638)",01/01/111907,39.2995870522,-76.632982638
145,5140A019,5603 GOVANE AVE,MID-GOVANS,4,NORTHERN,"(39.3578930649, -76.6068224198)",01/01/30314,39.3578930649,-76.6068224198
146,1142B043,1316 HOMEWOOD AVE,JOHNSTON SQUARE,12,EASTERN,"(39.3056027728, -76.606882854)",01/01/51210,39.3056027728,-76.606882854
147,1122 034,1531 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3077876319, -76.6029415538)",01/01/20907,39.3077876319,-76.6029415538
148,2020 093,1416 COOKSIE ST,LOCUST POINT,11,SOUTHERN,"(39.2696549993, -76.592756613)",01/01/60114,39.2696549993,-76.592756613
149,3936 108,2768 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3237244729, -76.5909451645)",01/01/102414,39.3237244729,-76.5909451645
150,3211 048,2009 CLIFTON AVE,MONDAWMIN,7,WESTERN,"(39.3116621739, -76.6506097555)",01/01/92614,39.3116621739,-76.6506097555
151,1659 052,2802 JEFFERSON ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2970939867, -76.5774549111)",01/01/120309,39.2970939867,-76.5774549111
152,3408 021,1509 CLIFTON AVE,PENN NORTH,7,WESTERN,"(39.3136257467, -76.6434857592)",01/01/30807,39.3136257467,-76.6434857592
153,0597 030,202 CLAY ST,DOWNTOWN,11,CENTRAL,"(39.2924420693, -76.6183994545)",01/01/31215,39.2924420693,-76.6183994545
154,0002 045,1817 N PAYSON ST,EASTERWOOD,7,WESTERN,"(39.309151976, -76.6495870085)",01/01/51712,39.309151976,-76.6495870085
155,4511H096,5439 NELSON AVE,ARLINGTON,5,NORTHWESTERN,"(39.3495030286, -76.6864524195)",01/01/22015,39.3495030286,-76.6864524195
156,0414 049,1344 DIVISION ST,UPTON,11,CENTRAL,"(39.3016967701, -76.6306380596)",01/01/123112,39.3016967701,-76.6306380596
157,1473 033,1622 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3095975584, -76.5852833117)",01/01/22709,39.3095975584,-76.5852833117
158,1468 010,1619 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.309125128, -76.5912999861)",01/01/21115,39.309125128,-76.5912999861
159,3227 030,2114 N FULTON AVE,MONDAWMIN,7,WESTERN,"(39.3123705267, -76.6468850495)",01/01/41906,39.3123705267,-76.6468850495
160,5774 003A,3202 ECHODALE AVE,WALTHERSON,3,NORTHEASTERN,"(39.3485341129, -76.5606295043)",01/01/61413,39.3485341129,-76.5606295043
161,7841 071,1905 GRINNALDS AVE,MORRELL PARK,10,SOUTHWESTERN,"(39.2672168234, -76.6509194789)",01/01/12811,39.2672168234,-76.6509194789
162,1459 057,1706 N CASTLE ST,BROADWAY EAST,12,EASTERN,"(39.3102322194, -76.5896121661)",01/01/61313,39.3102322194,-76.5896121661
163,0164 084,223 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2913302574, -76.6445163195)",01/01/110608,39.2913302574,-76.6445163195
164,0376 007,1412 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.3029158132, -76.6301027346)",01/01/102907,39.3029158132,-76.6301027346
165,2439 014,1703 N ELLAMONT ST,ROSEMONT,7,SOUTHWESTERN,"(39.3074749276, -76.6704943259)",01/01/30212,39.3074749276,-76.6704943259
166,0003 040,1851 W NORTH AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3095476459, -76.6479504683)",01/01/113006,39.3095476459,-76.6479504683
167,1621 061,706 N DUNCAN ST,MIDDLE EAST,13,EASTERN,"(39.2991249482, -76.5873937218)",01/01/22912,39.2991249482,-76.5873937218
168,1473 090,2310 E FEDERAL ST,BROADWAY EAST,13,EASTERN,"(39.3091087995, -76.584899985)",01/01/31513,39.3091087995,-76.584899985
169,0035 045,1378 N CALHOUN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3052770751, -76.6407330716)",01/01/111006,39.3052770751,-76.6407330716
170,1714 032,163 N POTOMAC ST,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.2945458987, -76.5746828277)",01/01/12814,39.2945458987,-76.5746828277
171,4581 027,5011 ELMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3463746921, -76.6768961158)",01/01/121908,39.3463746921,-76.6768961158
